"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"76","Samoise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Specialista di cross","23","173 cm","DX","1.828.750","18.287.500","4","0"
"78","Köhn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","26","191 cm","DX","2.420.000","24.200.000","1","0"
"78","Akpom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","SP","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","29","186 cm","DX","2.760.000","27.600.000","4","0"
"78","Datro Fofana                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","22","181 cm","DX","2.280.000","21.850.000","5","0"
"79","Djiku                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","30","182 cm","DX","2.592.000","25.920.000","1","0"
"79","Nández                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","29","172 cm","DX","2.592.000","25.920.000","5","0"
"79","Moukoko                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","20","179 cm","SX","2.160.000","20.700.000","5","0"
"80","Conceição                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Taglio al centro","22","170 cm","SX","2.873.750","28.737.500","5","0"
"81","Tavares                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","24","183 cm","SX","3.025.000","30.250.000","5","0"
"81","McKennie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","26","178 cm","DX","3.267.000","32.670.000","1","0"
"81","Yildiz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","19","185 cm","DX","2.846.250","28.462.500","4","0"
"81","Kalulu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","24","182 cm","DX","2.970.000","29.700.000","5","0"
"82","Acerbi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","36","192 cm","SX","3.402.000","34.020.000","5","0"
"82","Cuadrado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Specialista di cross","36","179 cm","DX","3.465.000","34.650.000","5","0"
"83","Laimer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","27","180 cm","DX","4.158.000","41.580.000","2","0"
"83","Koulibaly                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","33","187 cm","DX","3.780.000","37.800.000","5","0"
"83","Kanté                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","33","168 cm","DX","3.780.000","37.800.000","5","0"
"83","Núñez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","25","187 cm","DX","4.200.000","40.250.000","1","0"
"84","Fernández                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","23","178 cm","DX","4.104.000","41.040.000","5","0"
"84","Dybala                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Regista creativo","31","177 cm","SX","4.600.000","46.000.000","5","0"
"84","Tah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","28","195 cm","DX","5.184.000","51.840.000","5","0"
"85","Moraes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","31","188 cm","SX","4.400.000","44.000.000","5","0"
