"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"76","Giménez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Frontale extra","18","187 cm","DX","1.701.000","17.010.000","5","0"
"78","Valeri                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","26","180 cm","SX","2.420.000","24.200.000","5","0"
"78","Del Prato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","25","183 cm","DX","2.200.000","22.000.000","5","0"
"79","Moder                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","25","188 cm","DX","2.160.000","21.600.000","5","0"
"79","Kleindienst                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Attaccante di rientro","29","194 cm","SX","2.880.000","27.600.000","5","0"
"79","Greaves                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","24","193 cm","SX","2.160.000","21.600.000","5","0"
"79","Weah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Taglio al centro","24","183 cm","DX","2.200.000","22.000.000","5","0"
"79","Montipò                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere difensivo","28","191 cm","DX","2.640.000","26.400.000","1","0"
"79","Gnonto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Taglio al centro","21","170 cm","DX","2.185.000","21.850.000","5","0"
"80","Faes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","26","187 cm","DX","3.267.000","32.670.000","1","0"
"82","Bellanova                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","24","188 cm","DX","3.850.000","38.500.000","5","0"
"82","Pacho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","23","186 cm","SX","3.591.000","35.910.000","5","0"
"82","Frattesi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","25","178 cm","DX","3.780.000","37.800.000","1","0"
"82","Zapata                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Fulcro di gioco","33","189 cm","DX","4.200.000","40.250.000","2","0"
"82","Balde                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","21","175 cm","SX","3.657.500","36.575.000","1","0"
"83","Kubo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Regista creativo","23","173 cm","SX","3.657.500","36.575.000","5","0"
"83","Doku                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","22","173 cm","DX","3.823.750","38.237.500","5","0"
"83","Tomiyasu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino difensivo","26","188 cm","DX","4.235.000","42.350.000","3","0"
"84","Min-Jae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","28","190 cm","DX","5.184.000","51.840.000","1","0"
"84","Guimarães                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","27","182 cm","DX","4.752.000","47.520.000","1","0"
"84","Vitinha                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","24","172 cm","DX","4.320.000","43.200.000","3","0"
"84","Vicario                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","28","194 cm","DX","5.280.000","52.800.000","2","0"
"85","Rodrygo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","EDA","Stile / Pr. Piede debole                                                                                                                                    Taglio al centro","23","174 cm","DX","4.370.000","43.700.000","5","0"
"85","de Jong                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","27","180 cm","DX","4.752.000","47.520.000","5","0"
