"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"73","Zedadka                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLS","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","24","182 cm","DX","1.100.000","11.000.000","5","0"
"78","Folorunsho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","26","185 cm","DX","2.376.000","23.760.000","5","0"
"79","Svilar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","25","189 cm","DX","2.200.000","22.000.000","5","0"
"79","Perrone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Collante","21","178 cm","SX","2.052.000","20.520.000","5","0"
"79","Lovric                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","26","180 cm","DX","2.376.000","23.760.000","5","0"
"79","Belocian                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","19","182 cm","SX","1.944.000","19.440.000","5","0"
"79","Domínguez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","21","172 cm","DX","2.185.000","21.850.000","5","0"
"79","López                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","22","172 cm","DX","2.185.000","21.850.000","5","0"
"80","Lavia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Collante","20","181 cm","DX","2.673.000","26.730.000","5","0"
"80","Endrick                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","P","Stile / Pr. Piede debole                                                                                                                                    Attaccante di rientro","18","173 cm","SX","2.970.000","28.462.500","5","0"
"80","Sanches                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","27","176 cm","DX","3.267.000","32.670.000","5","0"
"81","Kean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","24","182 cm","DX","3.300.000","31.625.000","5","0"
"81","Reinildo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino difensivo","30","180 cm","SX","3.630.000","36.300.000","5","0"
"81","Estêvão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","EDA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","17","176 cm","SX","2.530.000","25.300.000","5","0"
"81","Geertruida                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino difensivo","24","185 cm","DX","3.025.000","30.250.000","5","0"
"81","Bento                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","25","190 cm","DX","3.025.000","30.250.000","5","0"
"82","Pepelu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Collante","26","186 cm","DX","4.158.000","41.580.000","5","0"
"82","Danso                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","26","190 cm","DX","4.158.000","41.580.000","5","0"
"82","Abraham                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","27","191 cm","DX","4.620.000","44.275.000","5","0"
