"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"78","Gorosabel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","28","174 cm","DX","2.640.000","26.400.000","5","0"
"78","Rouault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","23","186 cm","DX","2.052.000","20.520.000","5","0"
"79","Hien                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","25","191 cm","DX","2.160.000","21.600.000","1","0"
"79","Barkley                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","31","189 cm","DX","2.160.000","21.600.000","5","0"
"79","Cullen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","28","175 cm","DX","2.592.000","25.920.000","5","0"
"79","Portu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","32","168 cm","DX","2.300.000","23.000.000","5","0"
"79","Ulreich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere difensivo","36","192 cm","DX","1.980.000","19.800.000","5","0"
"79","Truffert                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","23","173 cm","SX","2.090.000","20.900.000","1","0"
"80","Paixão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","24","168 cm","DX","3.162.500","31.625.000","5","0"
"80","Doué                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","19","181 cm","DX","2.846.250","28.462.500","5","0"
