"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"77","Sacko                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","29","179 cm","DX","2.640.000","26.400.000","4","0"
"77","Bakayoko                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Incontrista","30","189 cm","DX","2.592.000","25.920.000","1","0"
"77","Cornelius                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Fulcro di gioco","31","193 cm","SX","2.400.000","23.000.000","4","0"
"78","Sportiello                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","32","192 cm","DX","2.200.000","22.000.000","4","0"
"78","Pepi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Rapace d'area","21","185 cm","DX","2.280.000","21.850.000","1","0"
"79","Palomino                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","34","188 cm","SX","1.944.000","19.440.000","4","0"
"79","Kouamé                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","27","185 cm","DX","2.640.000","25.300.000","4","0"
"79","Musah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","22","178 cm","DX","2.052.000","20.520.000","1","0"
"79","Coquelin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","33","178 cm","DX","2.160.000","21.600.000","4","0"
"80","Gatti                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","26","190 cm","DX","3.267.000","32.670.000","2","0"
"80","Yates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","27","190 cm","DX","3.267.000","32.670.000","4","0"
"80","Giménez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","23","182 cm","SX","3.135.000","30.043.750","5","0"
"81","El Shaarawy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","32","178 cm","DX","3.162.500","31.625.000","5","0"
"81","Royal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","25","181 cm","DX","3.025.000","30.250.000","5","0"
"81","Lodi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","26","173 cm","SX","3.327.500","33.275.000","5","0"
"82","Loftus-Cheek                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","28","191 cm","DX","4.536.000","45.360.000","1","0"
"82","Rashford                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","27","187 cm","DX","4.427.500","44.275.000","5","0"
"83","Thiaw                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","23","194 cm","DX","3.591.000","35.910.000","1","0"
"83","Politano                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","EDA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","31","171 cm","SX","4.025.000","40.250.000","5","0"
"83","Tomori                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","27","185 cm","DX","4.158.000","41.580.000","1","0"
"83","Félix                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Regista creativo","25","181 cm","DX","4.025.000","40.250.000","1","0"
"84","Reijnders                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","26","185 cm","DX","4.752.000","47.520.000","5","0"
"85","Ronaldo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","39","187 cm","DX","1.920.000","18.400.000","5","0"
"86","ter Stegen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","32","187 cm","DX","4.950.000","49.500.000","5","0"
