"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"74","Pio Esposito                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Fulcro di gioco","19","189 cm","DX","1.890.000","18.112.500","5","0"
"77","Esposito                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Senza palla","22","183 cm","DX","2.280.000","21.850.000","5","0"
"77","McGlynn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","21","180 cm","SX","2.052.000","20.520.000","5","0"
"78","Aurel Bisseck                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Frontale extra","24","196 cm","DX","2.160.000","21.600.000","1","0"
"79","Patric                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","31","184 cm","DX","2.160.000","21.600.000","5","0"
"79","Martínez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","26","191 cm","DX","2.420.000","24.200.000","5","0"
"79","Rodríguez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","32","182 cm","SX","2.160.000","21.600.000","3","0"
"79","Lazaro                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","28","180 cm","DX","2.640.000","26.400.000","5","0"
"81","Dumfries                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Specialista di cross","28","189 cm","DX","3.630.000","36.300.000","5","0"
"82","Raspadori                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Attaccante di rientro","24","172 cm","DX","4.025.000","40.250.000","1","0"
"82","Brozovic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","32","181 cm","DX","3.780.000","37.800.000","3","0"
"83","Chiesa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","27","175 cm","DX","4.427.500","44.275.000","5","0"
"83","Guerreiro                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino mattatore","31","170 cm","SX","3.850.000","38.500.000","5","0"
