"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"75","Simeone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Senza palla","22","174 cm","DX","1.995.000","19.118.750","5","0"
"76","Hernández                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","ESA","Stile / Pr. Piede debole                                                                                                                                    Regista creativo","22","169 cm","DX","1.911.875","19.118.750","5","0"
"78","Carboni                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Frontale extra","23","187 cm","SX","2.052.000","20.520.000","5","0"
"78","Castro                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Senza palla","20","179 cm","DX","2.160.000","20.700.000","4","0"
"78","Locko                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","22","180 cm","SX","2.090.000","20.900.000","5","0"
"78","Trafford                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere difensivo","22","192 cm","DX","2.090.000","20.900.000","5","0"
"78","Cunha                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere difensivo","23","193 cm","DX","2.090.000","20.900.000","5","0"
"79","Kerkez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","21","176 cm","SX","2.090.000","20.900.000","5","0"
"79","Bernabé                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","23","170 cm","SX","2.052.000","20.520.000","5","0"
"80","Elanga                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","EDA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","22","178 cm","DX","3.004.375","30.043.750","5","0"
"80","Mármol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","22","182 cm","SX","2.821.500","28.215.000","5","0"
"80","Okafor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","24","185 cm","DX","3.300.000","31.625.000","5","0"
"80","Sugawara                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","24","178 cm","DX","3.025.000","30.250.000","4","0"
"80","Ricci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","23","180 cm","DX","2.821.500","28.215.000","5","0"
"81","Samardzic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Classico nº 10","22","184 cm","SX","3.004.375","30.043.750","3","0"
"81","Inácio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","23","186 cm","SX","2.821.500","28.215.000","4","0"
"81","Smith Rowe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Regista creativo","24","182 cm","DX","3.162.500","31.625.000","5","0"
"82","Elmas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","25","182 cm","DX","3.780.000","37.800.000","5","0"
"82","Scalvini                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Frontale extra","21","194 cm","DX","3.591.000","35.910.000","5","0"
"82","Pino                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLD","Stile / Pr. Piede debole                                                                                                                                    Taglio al centro","22","173 cm","DX","3.657.500","36.575.000","4","0"
"82","Kökçü                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","24","175 cm","DX","3.780.000","37.800.000","5","0"
