"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"78","Sanusi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","27","182 cm","SX","2.420.000","24.200.000","5","0"
"78","Cervi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CLS","Stile / Pr. Piede debole                                                                                                                                    Specialista di cross","30","165 cm","SX","2.640.000","26.400.000","4","0"
"79","Marcão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","28","185 cm","SX","2.592.000","25.920.000","4","0"
"79","Traoré                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","EDA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","28","178 cm","DX","2.760.000","27.600.000","4","0"
"79","Baldanzi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Regista creativo","21","170 cm","SX","2.185.000","21.850.000","4","0"
"79","Oroz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","23","177 cm","DX","2.185.000","21.850.000","4","0"
"79","Young                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","39","175 cm","DX","880.000","8.800.000","5","0"
"79","Meunier                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino mattatore","33","190 cm","DX","2.200.000","22.000.000","5","0"
"80","Diomande                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","21","190 cm","DX","2.821.500","28.215.000","5","0"
"81","Omorodion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Rapace d'area","20","193 cm","DX","2.970.000","28.462.500","4","0"
"81","Mertens                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Attaccante di rientro","37","169 cm","DX","1.265.000","12.650.000","5","0"
"82","Ugarte                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Incontrista","23","182 cm","DX","3.591.000","35.910.000","4","0"
"82","Busquets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Collante","36","189 cm","DX","3.402.000","34.020.000","4","0"
"82","Silva                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","31","172 cm","DX","4.025.000","40.250.000","4","0"
"82","Palacios                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","26","177 cm","DX","4.158.000","41.580.000","5","0"
"83","Müller                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Senza palla","35","185 cm","DX","3.622.500","36.225.000","5","0"
"83","Dzeko                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Fulcro di gioco","38","193 cm","DX","1.680.000","16.100.000","5","0"
"83","Pellegrini                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","28","186 cm","DX","4.830.000","48.300.000","4","0"
